na_item;unit;geo\time;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 
B1GQ;CP_EUR_HAB;AL;2600 ;3000 ;3000 ;3100 ;3200 ;3300 ;3300 ;3500 ;3600 ;3700 ;4000;: 
B1GQ;CP_EUR_HAB;AT;34200 ;35300 ;34500 ;35400 ;37000 ;37800 ;38200 ;39000 ;39900 ;40800 ;42100 ;43700 
B1GQ;CP_EUR_HAB;BE;32400 ;33100 ;32300 ;33500 ;34500 ;35000 ;35300 ;35800 ;36600 ;37600 ;38700 ;39500 
B1GQ;CP_EUR_HAB;BG;4200 ;4900 ;4900 ;5100 ;5600 ;5700 ;5800 ;5900 ;6300 ;6800 ;7300 ;7800
B1GQ;CP_EUR_HAB;CH;46200 ;49300 ;50200 ;56100 ;63700 ;65000 ;64100 ;65300 ;74000 ;72500 ;71300;70100
B1GQ;CP_EUR_HAB;CY;22900 ;24200 ;23100 ;23300 ;23200 ;22600 ;21000 ;20700 ;20900 ;21700 ;22900;23800
B1GQ;CP_EUR_HAB;CZ;13400 ;15500 ;14200 ;14900 ;15600 ;15400 ;15000 ;14900 ;16000 ;16700 ;18100 ;19600 
B1GQ;CP_EUR_HAB;DE;30900 ;31500 ;30400 ;31900 ;33600 ;34100 ;34900 ;36100 ;37100 ;38100 ;39300 ;40300 
B1GQ;CP_EUR_HAB;DK;42700 ;44000 ;41900 ;43800 ;44500 ;45500 ;46100 ;47100 ;48000 ;49200 ;50800 ;51500 
B1GQ;CP_EUR_HAB;EA;29100 ;29600 ;28200 ;28900 ;29500 ;29500 ;29700 ;30200 ;31000 ;31800 ;32800 ;33800 
B1GQ;CP_EUR_HAB;EA19;28300 ;28900 ;27800 ;28500 ;29200 ;29200 ;29400 ;30100 ;31000 ;31800 ;32800 ;33800 
B1GQ;CP_EUR_HAB;EE;12100 ;12300 ;10600 ;11000 ;12500 ;13500 ;14300 ;15200 ;15700 ;16500 ;18000 ;19500 
B1GQ;CP_EUR_HAB;EL;21100 ;21800 ;21400 ;20300 ;18600;17300;16500;16400;16400;16400;16800;17200
B1GQ;CP_EUR_HAB;ES;23900 ;24300 ;23300 ;23200 ;22900 ;22200 ;22000 ;22300 ;23300 ;24100;25100;25900
B1GQ;CP_EUR_HAB;EU28;26100 ;26100 ;24500 ;25500 ;26200 ;26600 ;26800 ;27700 ;29100 ;29200 ;30000 ;30900 
B1GQ;CP_EUR_HAB;FI;35300 ;36500 ;33900 ;34900 ;36500 ;36900 ;37400 ;37600 ;38300 ;39300 ;40700 ;42100 
B1GQ;CP_EUR_HAB;FR;30300 ;31000 ;29900 ;30700 ;31500 ;31800 ;32100 ;32400 ;33000 ;33400 ;34200;35000
B1GQ;CP_EUR_HAB;HR;10200 ;11200 ;10500 ;10500 ;10500 ;10300 ;10300 ;10300 ;10600 ;11200 ;11900 ;: 
B1GQ;CP_EUR_HAB;HU;10200 ;10800 ;9400 ;9900 ;10200 ;10000 ;10300 ;10700 ;11300 ;11600 ;12700 ;13500
B1GQ;CP_EUR_HAB;IE;44800 ;41800 ;37500 ;36800 ;37300 ;38100 ;38900 ;41900 ;56000 ;57200 ;61900 ;66700 
B1GQ;CP_EUR_HAB;IS;50500 ;34300 ;29500 ;32500 ;34100 ;35700 ;37300 ;40900 ;47400 ;55600 ;63100 ;62300 
B1GQ;CP_EUR_HAB;IT;27400 ;27600 ;26400 ;26800 ;27300 ;26700 ;26500 ;26700 ;27200 ;27900 ;28500 ;29100 
B1GQ;CP_EUR_HAB;LI;: ;: ;: ;: ;: ;: ;128400 ;133200 ;148400 ;146700;148200;: 
B1GQ;CP_EUR_HAB;LT;9000 ;10200 ;8500 ;9000 ;10300 ;11200 ;11800 ;12500 ;12900 ;13500 ;14900 ;16100 
B1GQ;CP_EUR_HAB;LU;77300 ;77900 ;74200 ;79200 ;83100 ;83000 ;85300 ;89200 ;90600 ;91300 ;92600 ;96700 
B1GQ;CP_EUR_HAB;LV;10300 ;11200 ;8800 ;8500 ;9800 ;10800 ;11300 ;11800 ;12300 ;12800 ;13900 ;15300 
B1GQ;CP_EUR_HAB;ME;4400 ;5000 ;4800 ;5000 ;5300 ;5100 ;5400 ;5600 ;5900 ;6400 ;6900 ;: 
B1GQ;CP_EUR_HAB;MK;3000;3300;3300;3500;3700;3700;3900;4100;4400;4700;: ;: 
B1GQ;CP_EUR_HAB;MT;14200 ;15000 ;14900 ;15900 ;16400 ;17100 ;17900 ;19600 ;21700 ;22700 ;24100 ;25600 
B1GQ;CP_EUR_HAB;NL;37800 ;39400 ;37800 ;38500 ;39000 ;39000 ;39300 ;39800 ;40700 ;41600 ;43100;44900
B1GQ;CP_EUR_HAB;NO;62300 ;66500 ;57600 ;66200 ;72300 ;79000 ;77400 ;73200 ;67000 ;63700 ;67000 ;69200 
B1GQ;CP_EUR_HAB;PL;8200 ;9600 ;8200 ;9400 ;9900 ;10100 ;10300 ;10700 ;11200 ;11100 ;12200 ;12900 
B1GQ;CP_EUR_HAB;PT;16600 ;16900 ;16600 ;17000 ;16700 ;16000 ;16300 ;16600 ;17400 ;18100 ;18900;19600
B1GQ;CP_EUR_HAB;RO;6100 ;7100;6100 ;6200 ;6500 ;6600 ;7200 ;7600 ;8100 ;8600 ;9600;10400
B1GQ;CP_EUR_HAB;RS;4300 ;4900 ;4400 ;4300 ;4900 ;4700 ;5100 ;5000 ;5000 ;5200 ;5600 ;6100
B1GQ;CP_EUR_HAB;SE;39000 ;38300 ;33300 ;39400 ;42900 ;44500 ;45400 ;44700 ;45800 ;46700 ;47200 ;45900 
B1GQ;CP_EUR_HAB;SI;17400 ;18800;17800 ;17700 ;18100 ;17600 ;17700 ;18300 ;18800 ;19600 ;20800 ;22100 
B1GQ;CP_EUR_HAB;SK;10400 ;12200 ;11800 ;12400 ;13100 ;13400 ;13700 ;14000 ;14600 ;15000 ;15600 ;16600 
B1GQ;CP_EUR_HAB;TR;7000 ;7300 ;6400 ;7900 ;8000 ;9000 ;9400 ;9100 ;9900 ;9800 ;9400 ;8000 
B1GQ;CP_EUR_HAB;UK;36700 ;32100 ;27700 ;29500 ;29900 ;32800 ;32400 ;35400 ;40100 ;36600 ;35400 ;36000 
B1GQ;CP_MEUR;AL;7809.8 ;8800.3 ;8662.2 ;8996.6 ;9268.3 ;9585.8 ;9625.4 ;9968.6 ;10264.1 ;10719.9 ;11563.8;12745.5
B1GQ;CP_MEUR;AT;283978.0 ;293761.9 ;288044.0 ;295896.6 ;310128.7 ;318653.0 ;323910.2 ;333146.1 ;344258.5 ;356237.6 ;369899.2 ;386093.8 
B1GQ;CP_MEUR;BA;: ;13047.8 ;12679.3 ;12968.9 ;13411.8 ;13407.5 ;13691.8 ;13988.3 ;14617.4 ;15289.9 ;16042.4 ;16759.3 
B1GQ;CP_MEUR;BE;344712.5 ;354065.9 ;348781.1 ;365100.5 ;379106.3 ;387500.1 ;392339.8 ;400086.6 ;411102.7 ;424604.7 ;439174.5 ;450505.7 
B1GQ;CP_MEUR;BG;32449.1 ;37200.1 ;37317.7 ;38230.5 ;41292.0 ;41947.2 ;41858.1 ;42824.4 ;45288.5 ;48128.6 ;51663.0 ;55182.2
B1GQ;CP_MEUR;CH;350695.8 ;378248.1 ;390207.3 ;441086.0 ;504020.8 ;519716.3 ;518379.5 ;534923.4 ;612658.5 ;606773.1 ;602268.6;597008.7
B1GQ;CP_MEUR;CY;17591.0 ;19006.2 ;18673.5 ;19299.5 ;19731.0 ;19489.7 ;18140.5 ;17610.0 ;17746.0 ;18490.2 ;19648.7;20730.9
B1GQ;CP_MEUR;CZ;138302.9 ;161313.1 ;148682.0 ;156718.2 ;164040.5 ;161434.3 ;157741.6 ;156660.0 ;168473.3 ;176370.1 ;191721.8 ;207772.4 
B1GQ;CP_MEUR;DE;2499550.0 ;2546490.0 ;2445730.0 ;2564400.0 ;2693560.0 ;2745310.0 ;2811350.0 ;2927430.0 ;3030070.0 ;3134100.0 ;3244990.0 ;3344370.0 
B1GQ;CP_MEUR;DK;233383.3 ;241613.5 ;231278.0 ;243165.4 ;247879.9 ;254578.0 ;258742.7 ;265757.0 ;273017.6 ;282090.0 ;292806.1 ;298276.5 
B1GQ;CP_MEUR;EA;9243329.0 ;9485803.8 ;9221928.0 ;9476134.2 ;9744407.3 ;9778485.0 ;9871307.9 ;10127005.3 ;10516353.0 ;10805998.0 ;11183783.0 ;11543967.2 
B1GQ;CP_MEUR;EA19;9390885.5 ;9625374.9 ;9281758.0 ;9536667.1 ;9795884.9 ;9833891.8 ;9929096.5 ;10163573.6 ;10516353.0 ;10805998.0 ;11183783.0 ;11543967.2 
B1GQ;CP_MEUR;EE;16246.4 ;16517.3 ;14145.9 ;14716.5 ;16667.6 ;17934.9 ;18932.3 ;20061.2 ;20652.0 ;21682.6 ;23615.1 ;25656.9 
B1GQ;CP_MEUR;EL;232694.6 ;241990.4 ;237534.2 ;226031.4 ;207028.9;191203.9;180654.3;178656.5;177258.4;176487.9;180217.6;184713.6
B1GQ;CP_MEUR;ES;1080807.0 ;1116225.0 ;1079052.0 ;1080935.0 ;1070449.0 ;1039815.0 ;1025693.0 ;1037820.0 ;1081165.0 ;1118743.0;1166319.0;1208248.0
B1GQ;CP_MEUR;EU28;12991952.3 ;13071246.8 ;12316132.0 ;12825992.2 ;13207747.1 ;13471297.3 ;13581840.5 ;14060420.7 ;14810308.2 ;14936601.1 ;15361029.9 ;15848564.1 
B1GQ;CP_MEUR;FI;186584.0 ;193711.0 ;181029.0 ;187100.0 ;196869.0 ;199793.0 ;203338.0 ;205474.0 ;209952.0 ;216073.0 ;223918.0 ;232096.0 
B1GQ;CP_MEUR;FR;1941360.0 ;1992380.0 ;1936422.0 ;1995289.0 ;2058369.0 ;2088804.0 ;2117189.0 ;2149765.0 ;2198432.0 ;2234129.0 ;2295063.0;2353090.0
B1GQ;CP_MEUR;HR;43946.8 ;48138.8 ;45145.4 ;45155.5 ;44825.5 ;43982.7 ;43779.2 ;43431.0 ;44605.9 ;46639.5 ;48989.5 ;51467.8 
B1GQ;CP_MEUR;HU;102169.1 ;108121.5 ;94262.5 ;98826.0 ;101317.0 ;99502.4 ;101890.5 ;105547.0 ;110898.7 ;113903.8 ;124050.3 ;131935.1 
B1GQ;CP_MEUR;IE;197202.0 ;187769.1 ;170100.5 ;167732.3 ;170827.0 ;175115.7 ;179661.3 ;194818.2 ;262833.4 ;271683.6 ;297130.8 ;324038.2 
B1GQ;CP_MEUR;IS;15726.8 ;10948.5 ;9426.4 ;10332.4 ;10889.0 ;11458.5 ;12064.1 ;13389.9 ;15679.8 ;18646.1 ;21677.2 ;21987.7 
B1GQ;CP_MEUR;IT;1609550.8 ;1632150.8 ;1572878.3 ;1604514.5 ;1637462.9 ;1613265.0 ;1604599.1 ;1621827.2 ;1652085.4 ;1689824.0 ;1727381.5 ;1756981.5 
B1GQ;CP_MEUR;LI;: ;: ;: ;: ;: ;: ;4812.4 ;5021.7 ;5649.1 ;5617.2;5717.4;: 
B1GQ;CP_MEUR;LT;29040.7 ;32696.3 ;26934.8 ;28027.7 ;31275.3 ;33348.5 ;34959.6 ;36568.3 ;37433.9 ;38849.4 ;42190.8 ;45113.8 
B1GQ;CP_MEUR;LU;37178.9 ;38128.6 ;36976.5 ;40177.8 ;43164.6 ;44112.1 ;46499.6 ;49824.5 ;51578.9 ;53303.0 ;55299.4 ;58869.2 
B1GQ;CP_MEUR;LV;22679.3 ;24354.8 ;18749.3 ;17788.6 ;20202.3 ;22058.4 ;22828.9 ;23618.2 ;24320.3 ;25037.7 ;27033.1 ;29523.7 
B1GQ;CP_MEUR;ME;2689.1 ;3103.3 ;2993.9 ;3125.1 ;3264.8 ;3181.5 ;3362.5 ;3457.9 ;3654.5 ;3954.2 ;4299.1 ;: 
B1GQ;CP_MEUR;MK;6094.5 ;6772.1 ;6766.5 ;7108.3 ;7544.2 ;7584.8 ;8149.6 ;8562.0 ;9072.3 ;9656.5 ;10013.9;10734.7
B1GQ;CP_MEUR;MT;5757.5 ;6128.7 ;6138.6 ;6599.5 ;6832.0 ;7168.0 ;7645.3 ;8508.3 ;9657.9 ;10346.5 ;11302.8 ;12323.8 
B1GQ;CP_MEUR;NL;619170.0 ;647198.0 ;624842.0 ;639187.0 ;650359.0 ;652966.0 ;660463.0 ;671560.0 ;690008.0 ;708337.0 ;738146.0 ;774039.0
B1GQ;CP_MEUR;NO;293167.0 ;317021.5 ;278246.6 ;323760.9 ;358339.5 ;396523.5 ;393408.7 ;375947.3 ;347632.1 ;333471.3 ;353316.4 ;367893.7 
B1GQ;CP_MEUR;PL;313874.0 ;366182.3 ;317082.9 ;361803.9 ;380241.7 ;389376.8 ;394733.8 ;411163.2 ;430254.5 ;426547.5 ;467304.2 ;496461.8 
B1GQ;CP_MEUR;PT;175467.7 ;178872.6 ;175448.2 ;179929.8 ;176166.6 ;168398.0 ;170269.3 ;173079.1 ;179809.1 ;186480.5 ;194613.5;201612.5
B1GQ;CP_MEUR;RO;127632.0 ;146590.6 ;125213.9 ;125408.8 ;131925.4 ;133147.1 ;143801.6 ;150458.0 ;160297.8 ;170393.6 ;187516.8;202883.6
B1GQ;CP_MEUR;RS;31557.9 ;35712.5 ;32486.2 ;31545.8 ;35431.7 ;33679.3 ;36426.7 ;35467.5 ;35715.5 ;36723.0 ;39183.3 ;42780.2
B1GQ;CP_MEUR;SE;356859.2 ;352741.6 ;310008.3 ;369478.2 ;405440.1 ;423808.4 ;436217.9 ;433140.1 ;449194.7 ;463147.5 ;475224.2 ;466924.6 
B1GQ;CP_MEUR;SI;35073.5 ;37925.7 ;36254.9 ;36363.9 ;37058.6 ;36253.3 ;36454.3 ;37634.3 ;38852.6 ;40366.6 ;42987.1 ;45754.8 
B1GQ;CP_MEUR;SK;56241.6 ;66002.8 ;64023.1 ;67577.3 ;70627.2 ;72703.5 ;74169.9 ;76087.8 ;79138.2 ;81226.1 ;84850.9 ;90201.8 
B1GQ;CP_MEUR;TR;492841.2 ;521812.2 ;461925.9 ;581023.8 ;596491.2 ;678483.7 ;714313.4 ;703411.6 ;772978.8 ;780224.9 ;754902.2 ;652519.9 
B1GQ;CP_MEUR;UK;2252450.5 ;1983970.5 ;1725383.3 ;1850538.6 ;1894900.2 ;2089628.4 ;2073978.5 ;2287866.6 ;2611924.1 ;2403382.6 ;2337971.0 ;2393692.8 
B1GQ;CP_MEUR;XK;: ;3882.8 ;4069.6 ;4402.0 ;4814.5 ;5058.8 ;5326.6 ;5567.5 ;5806.9 ;6070.0 ;6413.8 ;: 
B1GQ;CP_MPPS;AL;17814.5 ;19164.7 ;19625.8 ;21463.5 ;22373.2 ;23073.7 ;22482.3 ;23978.1 ;25242.3 ;24833.1 ;26235.0;27052.5
B1GQ;CP_MPPS;AT;269375.1 ;271697.4 ;259691.0 ;268855.2 ;281428.6 ;295983.7 ;298526.5 ;307426.7 ;323901.3 ;328326.5 ;334701.9 ;347819.7 
B1GQ;CP_MPPS;BA;: ;26786.8 ;25658.2 ;26507.2 ;27556.2 ;28073.3 ;28670.2 ;29346.2 ;30956.8 ;31592.9 ;32504.7 ;33777.8 
B1GQ;CP_MPPS;BE;322970.1 ;322743.6 ;312091.6 ;333961.9 ;343801.3 ;356213.8 ;357520.8 ;368546.4 ;386222.3 ;389224.2 ;396882.7 ;407450.4 
B1GQ;CP_MPPS;BG;79619.4 ;84841.4 ;80091.2 ;84522.8 ;86905.9 ;89494.1 ;88441.1 ;93369.8 ;98086.3 ;101121.3 ;104665.5 ;109251.7
B1GQ;CP_MPPS;CH;309651.5 ;317799.3 ;304888.9 ;317784.7 ;335384.4 ;349625.8 ;357199.9 ;373646.0 ;397904.2 ;391844.5 ;396246.7;410533.9
B1GQ;CP_MPPS;CY;20773.1 ;21647.8 ;20825.4 ;21093.6 ;21307.3 ;20838.3 ;19389.0 ;19097.5 ;20112.7 ;20867.1 ;21943.4;23276.1
B1GQ;CP_MPPS;CZ;221791.3 ;228506.7 ;219218.3 ;221779.3 ;228036.2 ;230741.1 ;235471.8 ;250315.6 ;266973.2 ;270823.9 ;284418.8 ;299098.5 
B1GQ;CP_MPPS;DE;2458444.8 ;2452911.4 ;2293681.8 ;2437573.1 ;2576410.6 ;2635514.5 ;2665620.5 ;2806336.6 ;2926699.0 ;2966521.2 ;3038209.5 ;3117276.4 
B1GQ;CP_MPPS;DK;175437.3 ;179202.6 ;169445.5 ;182557.0 ;186611.6 ;189337.4 ;192740.3 ;199268.1 ;209501.5 ;211254.5 ;221269.8 ;226264.5 
B1GQ;CP_MPPS;EA;9198440.6 ;9225102.4 ;8789485.3 ;9105801.3 ;9386771.3 ;9512515.1 ;9563274.9 ;9902612.1 ;10465594.9 ;10574107.8 ;10846142.6 ;11168915.0 
B1GQ;CP_MPPS;EA19;9429224.7 ;9435439.5 ;8881385.2 ;9203500.4 ;9469746.8 ;9600784.8 ;9654615.8 ;9963506.3 ;10465594.9 ;10574107.8 ;10846142.6 ;11168915.0 
B1GQ;CP_MPPS;EE;24274.1 ;23947.6 ;20808.6 ;21990.8 ;24579.1 ;26013.2 ;26622.1 ;28065.9 ;28873.1 ;29577.0 ;31113.8 ;33164.4 
B1GQ;CP_MPPS;EL;266778.8 ;270121.4 ;256502.0 ;239570.5 ;219010.3;211059.3;210225.4;215488.7;218732.7;213819.8;217034.7;224838.2
B1GQ;CP_MPPS;ES;1215277.4 ;1215239.0 ;1142116.2 ;1137885.0 ;1130867.9 ;1130761.0 ;1116619.3 ;1154972.3 ;1222404.0 ;1241644.7;1284331.0;1320893.8
B1GQ;CP_MPPS;EU28;12991952.3 ;13071246.8 ;12316132.0 ;12825992.2 ;13207747.1 ;13471297.3 ;13581840.5 ;14060420.7 ;14810308.2 ;14936601.1 ;15361029.9 ;15848564.1 
B1GQ;CP_MPPS;FI;164372.4 ;167828.5 ;153603.2 ;158997.2 ;165383.3 ;166204.7 ;164990.8 ;166951.6 ;173831.5 ;174829.1 ;180270.8 ;187319.2 
B1GQ;CP_MPPS;FR;1798854.7 ;1785382.7 ;1706910.8 ;1786548.7 ;1845706.7 ;1869761.4 ;1916268.3 ;1962252.2 ;2043171.4 ;2045250.1 ;2089517.2;2151219.6
B1GQ;CP_MPPS;HR;68699.5 ;70966.0 ;65598.0 ;65023.1 ;67038.7 ;68235.5 ;68175.8 ;68974.3 ;72671.0 ;74478.8 ;76582.7 ;79662.7 
B1GQ;CP_MPPS;HU;157745.7 ;164037.4 ;157417.7 ;164802.8 ;171835.6 ;173149.4 ;177796.9 ;185589.7 ;194926.5 ;191717.1 ;199038.5 ;212219.8 
B1GQ;CP_MPPS;IE;169558.9 ;157111.8 ;143564.2 ;151091.1 ;154992.9 ;160795.2 ;162695.4 ;175333.4 ;243971.9 ;243977.5 ;263404.5 ;286012.8 
B1GQ;CP_MPPS;IS;10571.3 ;10865.8 ;10150.6 ;9632.7 ;9811.7 ;10162.3 ;10502.6 ;11032.2 ;12143.6 ;12771.6 ;13396.6 ;14397.8 
B1GQ;CP_MPPS;IT;1637694.6 ;1645802.7 ;1551177.3 ;1588109.3 ;1628295.6 ;1630590.0 ;1598763.6 ;1616315.6 ;1680902.8 ;1722189.1 ;1751773.2 ;1781811.0 
B1GQ;CP_MPPS;LT;50863.8 ;52428.6 ;43649.6 ;47621.2 ;52211.1 ;55679.0 ;57927.7 ;60899.6 ;63101.9 ;63226.6 ;66411.4 ;69827.9 
B1GQ;CP_MPPS;LU;33229.2 ;33477.3 ;31148.6 ;33215.0 ;35979.5 ;36765.0 ;38156.3 ;41539.8 ;43988.6 ;44494.5 ;45325.1 ;47821.5 
B1GQ;CP_MPPS;LV;32882.7 ;33435.6 ;27480.8 ;28185.6 ;30726.1 ;32675.3 ;33527.9 ;34989.9 ;36735.8 ;36837.3 ;38897.0 ;41879.0 
B1GQ;CP_MPPS;ME;6319.3 ;6736.4 ;6124.6 ;6463.5 ;6770.4 ;6502.5 ;6786.0 ;7045.4 ;7637.2 ;8088.8 ;8505.8 ;: 
B1GQ;CP_MPPS;MK;15737.0 ;17019.8 ;17174.6 ;17865.6 ;18154.8 ;18560.5 ;19298.2 ;20474.5 ;21609.3 ;22424.1 ;22491.3;24133.4
B1GQ;CP_MPPS;MT;8346.1 ;8473.7 ;8200.0 ;8821.5 ;8977.3 ;9344.6 ;9725.7 ;10696.0 ;12103.9 ;12703.9 ;13717.4 ;14582.4 
B1GQ;CP_MPPS;NL;592779.5 ;603284.9 ;560275.8 ;572707.2 ;586860.7 ;598595.6 ;607881.3 ;612050.3 ;640259.8 ;636078.5 ;659300.3 ;687435.8
B1GQ;CP_MPPS;NO;216907.7 ;232553.7 ;203359.7 ;216698.8 ;231967.8 ;247880.3 ;249871.8 ;249522.5 ;235418.1 ;219901.5 ;231066.8 ;246575.3 
B1GQ;CP_MPPS;PL;527543.1 ;551672.1 ;558441.5 ;612790.9 ;656187.2 ;685603.1 ;690781.6 ;717641.2 ;766530.7 ;766160.9 ;802582.9 ;843075.2 
B1GQ;CP_MPPS;PT;223407.4 ;222202.8 ;212743.9 ;220962.0 ;213304.6 ;210223.1 ;214327.8 ;220397.8 ;231030.9 ;233186.3 ;236772.5;240609.0
B1GQ;CP_MPPS;RO;235612.8 ;272375.5 ;257680.7 ;262887.9 ;272196.9 ;286984.8 ;290632.6 ;302656.8 ;322072.1 ;342120.5 ;367840.6;389035.5
B1GQ;CP_MPPS;RS;68305.0 ;73373.5 ;69799.3 ;71409.0 ;75025.9 ;75811.2 ;76991.5 ;77052.8 ;79554.4 ;80185.2 ;81468.9 ;86065.7
B1GQ;CP_MPPS;SE;306378.5 ;305306.6 ;280713.3 ;298793.7 ;312303.7 ;322124.3 ;322459.7 ;332865.3 ;356637.2 ;354349.2 ;365068.3 ;380267.8 
B1GQ;CP_MPPS;SI;45821.3 ;47288.2 ;42725.9 ;43622.1 ;44807.2 ;45153.4 ;45358.7 ;46920.6 ;49052.5 ;49865.7 ;52735.9 ;55711.9 
B1GQ;CP_MPPS;SK;93771.3 ;100711.6 ;94462.3 ;102993.7 ;105219.2 ;108903.6 ;110942.9 ;115544.0 ;121002.6 ;122070.1 ;124328.2 ;130848.0 
B1GQ;CP_MPPS;TR;851732.0 ;893367.8 ;840200.7 ;964532.2 ;1088873.8 ;1163202.6 ;1242141.4 ;1364441.8 ;1512043.5 ;1518597.8 ;1598640.2 ;1636503.7 
B1GQ;CP_MPPS;UK;1789847.8 ;1779175.8 ;1646776.3 ;1729834.9 ;1757243.3 ;1825131.1 ;1861094.2 ;1946442.3 ;2057427.3 ;2050957.3 ;2094182.7 ;2142129.3 
